uuid,ipv4,port,accuracy,loss,round,timestamp,session_uuid
000e2375-c107-4e17-abfb-64ba285e4a3d,localhost,7294,0.9036111235618591,0.3160697817802429,1,2023-05-21 18:33:56.775002,4b03c3ea-055c-49a2-aebb-a48c18ed81b7
000e2375-c107-4e17-abfb-64ba285e4a3d,localhost,7294,0.9213333129882812,0.2646765410900116,2,2023-05-21 18:33:59.669017,4b03c3ea-055c-49a2-aebb-a48c18ed81b7
000e2375-c107-4e17-abfb-64ba285e4a3d,localhost,7294,0.9399999976158142,0.2083742469549179,3,2023-05-21 18:34:06.675010,4b03c3ea-055c-49a2-aebb-a48c18ed81b7
000e2375-c107-4e17-abfb-64ba285e4a3d,localhost,7294,0.9486666917800903,0.1793675273656845,4,2023-05-21 18:34:14.131769,4b03c3ea-055c-49a2-aebb-a48c18ed81b7
000e2375-c107-4e17-abfb-64ba285e4a3d,localhost,7294,0.9573333263397217,0.1473064422607422,5,2023-05-21 18:34:19.222761,4b03c3ea-055c-49a2-aebb-a48c18ed81b7
000e2375-c107-4e17-abfb-64ba285e4a3d,localhost,7294,0.9649999737739563,0.11297277361154556,7,2023-05-21 18:34:26.998762,4b03c3ea-055c-49a2-aebb-a48c18ed81b7
000e2375-c107-4e17-abfb-64ba285e4a3d,localhost,7294,0.9736666679382324,0.1045188307762146,9,2023-05-21 18:34:35.119773,4b03c3ea-055c-49a2-aebb-a48c18ed81b7
8688aea2-cf20-448a-9b73-0ec99ade3e18,localhost,3768,0.7823333144187927,0.6586851477622986,0,2023-05-21 18:38:08.609923,eb2c3154-842f-4efb-a26d-c65993b246c2
8688aea2-cf20-448a-9b73-0ec99ade3e18,localhost,3768,0.8996666669845581,0.32670795917510986,1,2023-05-21 18:38:12.085926,eb2c3154-842f-4efb-a26d-c65993b246c2
8688aea2-cf20-448a-9b73-0ec99ade3e18,localhost,3768,0.9213333129882812,0.271077960729599,2,2023-05-21 18:38:17.245927,eb2c3154-842f-4efb-a26d-c65993b246c2
8688aea2-cf20-448a-9b73-0ec99ade3e18,localhost,3768,0.9390000104904175,0.191569522023201,4,2023-05-21 18:38:25.918914,eb2c3154-842f-4efb-a26d-c65993b246c2
8688aea2-cf20-448a-9b73-0ec99ade3e18,localhost,3768,0.9586666822433472,0.1433851718902588,5,2023-05-21 18:38:30.508927,eb2c3154-842f-4efb-a26d-c65993b246c2
8688aea2-cf20-448a-9b73-0ec99ade3e18,localhost,3768,0.9538888931274414,0.1483452469110489,6,2023-05-21 18:38:36.327916,eb2c3154-842f-4efb-a26d-c65993b246c2
8688aea2-cf20-448a-9b73-0ec99ade3e18,localhost,3768,0.9606666564941406,0.12650135159492493,7,2023-05-21 18:38:40.777911,eb2c3154-842f-4efb-a26d-c65993b246c2
8688aea2-cf20-448a-9b73-0ec99ade3e18,localhost,3768,0.9653333425521851,0.1171334907412529,8,2023-05-21 18:38:45.628923,eb2c3154-842f-4efb-a26d-c65993b246c2
8688aea2-cf20-448a-9b73-0ec99ade3e18,localhost,3768,0.968666672706604,0.10674431174993515,9,2023-05-21 18:38:50.858925,eb2c3154-842f-4efb-a26d-c65993b246c2
1f7e9da9-3d5c-422c-96cc-a8acc454b312,localhost,4205,0.7889999747276306,0.6567850708961487,0,2023-05-21 19:09:10.275999,000d635f-2206-4ab3-99b2-bd49a3c75fad
501a631d-70b5-4711-ac43-af5e08f4fac2,localhost,2541,0.7763333320617676,0.6604030728340149,0,2023-05-21 19:09:10.326002,000d635f-2206-4ab3-99b2-bd49a3c75fad
cf890c34-4a36-4df1-b1cc-92f83db335d3,localhost,2072,0.7940000295639038,0.629047155380249,0,2023-05-21 19:09:10.453014,000d635f-2206-4ab3-99b2-bd49a3c75fad
dfad836d-9fbe-4294-a63d-039f0b1c95c1,localhost,8497,0.7829999923706055,0.6650110483169556,0,2023-05-21 19:09:11.008020,000d635f-2206-4ab3-99b2-bd49a3c75fad
c3cb635e-e32a-43d9-9dc2-058a8b939e3d,localhost,5497,0.7960000038146973,0.6564366221427917,0,2023-05-21 19:09:11.426016,000d635f-2206-4ab3-99b2-bd49a3c75fad
85066c9d-0d65-4e31-92b4-2bf8b617ba6a,localhost,7117,0.7826666831970215,0.6875236630439758,0,2023-05-21 19:09:11.926999,000d635f-2206-4ab3-99b2-bd49a3c75fad
57434da2-6d56-459e-8621-90b950564a43,localhost,3353,0.7823333144187927,0.6910191774368286,0,2023-05-21 19:09:12.175019,000d635f-2206-4ab3-99b2-bd49a3c75fad
6932c7be-25b6-4811-aad3-3f03c4bcb17e,localhost,5910,0.7883333563804626,0.6715226769447327,0,2023-05-21 19:09:12.269991,000d635f-2206-4ab3-99b2-bd49a3c75fad
57434da2-6d56-459e-8621-90b950564a43,localhost,3353,0.8930000066757202,0.3279852867126465,1,2023-05-21 19:09:15.731004,000d635f-2206-4ab3-99b2-bd49a3c75fad
cf890c34-4a36-4df1-b1cc-92f83db335d3,localhost,2072,0.8866666555404663,0.3471564054489136,1,2023-05-21 19:09:15.782004,000d635f-2206-4ab3-99b2-bd49a3c75fad
dfad836d-9fbe-4294-a63d-039f0b1c95c1,localhost,8497,0.9043333530426025,0.31291401386260986,1,2023-05-21 19:09:15.985010,000d635f-2206-4ab3-99b2-bd49a3c75fad
1f7e9da9-3d5c-422c-96cc-a8acc454b312,localhost,4205,0.9073333144187927,0.30711060762405396,1,2023-05-21 19:09:15.993011,000d635f-2206-4ab3-99b2-bd49a3c75fad
85066c9d-0d65-4e31-92b4-2bf8b617ba6a,localhost,7117,0.906333327293396,0.3047340214252472,1,2023-05-21 19:09:16.302000,000d635f-2206-4ab3-99b2-bd49a3c75fad
d32d0bc2-94f5-42b7-aec2-583b9a3a3c08,localhost,6538,0.8980000019073486,0.3262665569782257,1,2023-05-21 19:09:17.821002,000d635f-2206-4ab3-99b2-bd49a3c75fad
f9411276-cd09-4be3-996b-945b9b8dc85e,localhost,9059,0.9083333611488342,0.3194521963596344,1,2023-05-21 19:09:17.873992,000d635f-2206-4ab3-99b2-bd49a3c75fad
85066c9d-0d65-4e31-92b4-2bf8b617ba6a,localhost,7117,0.9193333387374878,0.2775913178920746,2,2023-05-21 19:09:21.504027,000d635f-2206-4ab3-99b2-bd49a3c75fad
1f7e9da9-3d5c-422c-96cc-a8acc454b312,localhost,4205,0.9210000038146973,0.2599908411502838,2,2023-05-21 19:09:21.645004,000d635f-2206-4ab3-99b2-bd49a3c75fad
6932c7be-25b6-4811-aad3-3f03c4bcb17e,localhost,5910,0.925000011920929,0.24732165038585663,2,2023-05-21 19:09:21.783008,000d635f-2206-4ab3-99b2-bd49a3c75fad
501a631d-70b5-4711-ac43-af5e08f4fac2,localhost,2541,0.9163333177566528,0.2875954806804657,2,2023-05-21 19:09:22.037011,000d635f-2206-4ab3-99b2-bd49a3c75fad
c3cb635e-e32a-43d9-9dc2-058a8b939e3d,localhost,5497,0.9213333129882812,0.25111645460128784,2,2023-05-21 19:09:22.530046,000d635f-2206-4ab3-99b2-bd49a3c75fad
57434da2-6d56-459e-8621-90b950564a43,localhost,3353,0.9273333549499512,0.24380937218666077,2,2023-05-21 19:09:23.143011,000d635f-2206-4ab3-99b2-bd49a3c75fad
dfad836d-9fbe-4294-a63d-039f0b1c95c1,localhost,8497,0.9283333420753479,0.24738076329231262,2,2023-05-21 19:09:23.396010,000d635f-2206-4ab3-99b2-bd49a3c75fad
d32d0bc2-94f5-42b7-aec2-583b9a3a3c08,localhost,6538,0.9233333468437195,0.26999345421791077,2,2023-05-21 19:09:23.706997,000d635f-2206-4ab3-99b2-bd49a3c75fad
cf890c34-4a36-4df1-b1cc-92f83db335d3,localhost,2072,0.9246666431427002,0.26762107014656067,2,2023-05-21 19:09:23.818997,000d635f-2206-4ab3-99b2-bd49a3c75fad
dfad836d-9fbe-4294-a63d-039f0b1c95c1,localhost,8497,0.9266666769981384,0.24085986614227295,3,2023-05-21 19:09:28.106047,000d635f-2206-4ab3-99b2-bd49a3c75fad
c3cb635e-e32a-43d9-9dc2-058a8b939e3d,localhost,5497,0.9316666722297668,0.22099241614341736,3,2023-05-21 19:09:28.198021,000d635f-2206-4ab3-99b2-bd49a3c75fad
501a631d-70b5-4711-ac43-af5e08f4fac2,localhost,2541,0.9330000281333923,0.22813063859939575,3,2023-05-21 19:09:28.469009,000d635f-2206-4ab3-99b2-bd49a3c75fad
f9411276-cd09-4be3-996b-945b9b8dc85e,localhost,9059,0.9383333325386047,0.2174774557352066,3,2023-05-21 19:09:28.592032,000d635f-2206-4ab3-99b2-bd49a3c75fad
57434da2-6d56-459e-8621-90b950564a43,localhost,3353,0.9386666417121887,0.20283719897270203,3,2023-05-21 19:09:28.618008,000d635f-2206-4ab3-99b2-bd49a3c75fad
6932c7be-25b6-4811-aad3-3f03c4bcb17e,localhost,5910,0.9293333292007446,0.2167261391878128,3,2023-05-21 19:09:29.254008,000d635f-2206-4ab3-99b2-bd49a3c75fad
cf890c34-4a36-4df1-b1cc-92f83db335d3,localhost,2072,0.9340000152587891,0.2271091490983963,3,2023-05-21 19:09:29.281005,000d635f-2206-4ab3-99b2-bd49a3c75fad
1f7e9da9-3d5c-422c-96cc-a8acc454b312,localhost,4205,0.9319999814033508,0.21050205826759338,3,2023-05-21 19:09:29.736000,000d635f-2206-4ab3-99b2-bd49a3c75fad
85066c9d-0d65-4e31-92b4-2bf8b617ba6a,localhost,7117,0.9386666417121887,0.20714546740055084,3,2023-05-21 19:09:30.057994,000d635f-2206-4ab3-99b2-bd49a3c75fad
